CASE_LBL,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_SUM,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_SUM,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_SUM,var137,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,VAR00003,GP_YEAR,CWPP_YEAR,HMP_YEAR,VAR00001,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,VAR00009,GP_TOTAL,CWPP_TOTAL,HMP_TOTAL,THREEPLANS_TOTAL,FIPS_ID
ALAMEDA_01,3,3,6,4,0,19,1.5,2,38.5,8,5,5,5,14.05,5,3,4,49.05,8.98,13,9,8,7,2,1,48.98, ,.1053,.0702,.8596,.8772,.2807, ,2012,2015,2021, ,3,5,3,3,3,3,.7,.62,.84,.64,.47,.28,.5,.63, ,38.5,49.05,48.98,.73,1
ALPINE_02,2,3,7,6,0,14,1.5,1,34.5,7,5,6,6,15.38,7,0,6,52.38,9.98,10,10,8,7,2,0,46.98, ,.3509,.5263,.4912,.193,.3509, ,2017,2018,2018, ,4,4,2,5,5,4,.75,.62,.87,.75,.16,.24,0,.25, ,34.5,52.38,46.98,.72,3
AMADOR_03,3,4,4,6,1,19.5,1.5,1,40,6,4.5,5,4,12.55,3,0,2,37.05,9.98,14,14,9,8,2,2,58.98, ,.193,.1579,.1754,.6667,.2281, ,2016,2004,2020, ,5,5,2,1,3,3,.71,.61,.57,.95,.38,.14,0,1, ,40,37.05,58.98,.73,5
BUTTE_04,4,4,5,4,2,20.5,6,2,47.5,5,2.5,4.5,4,12.73,3,0,3,34.73,8.98,14,12,10,8,1,2,55.98, ,.5965,.4386,.2456,.8596,.5965, ,2023,2022,2019, ,5,3,4,5,5,5,.77,.72,.64,.94,.59,.78,0,1, ,47.5,34.73,55.98,.74,7
CALAVERAS_05,4,4,5,7,1,19,2.5,1,43.5,8,5,6,5,16.05,7,4,4,55.05,9.98,13,10,9,7,2,2,52.98, ,.4211,.3509,.0526,0,.1053, ,2019,2020,2021, ,5,4,5,5,5,5,.77,.7,.86,.73,.76,.52,.75,1, ,43.5,55.05,52.98,.81,9
COLUSA_06,4,4,7,5,1,15.5,4.5,1,42,8,5,6,6,15.63,7,2,5,54.63,9.98,15,14,9,8,2,2,59.98, ,.5263,.9825,.7368,.1053,.5789, ,2012,2021,2019, ,5,4,5,4,4,4,.85,.7,.87,.97,.6,.43,.38,1, ,42,54.63,59.98,.84,11
CONTRA_COSTA_07,4,2,8,5,1,17,2,1,40,6,4.5,6,5,14.97,6,0,3,45.47,9.98,14,14,10,8,2,2,59.98, ,.1228,.4912,.6316,.1228,.1754, ,2005,2019,2018, ,5,4,3,4,3,4,.78,.65,.74,.96,.46,.38,0,1, ,40,45.47,59.98,.78,13
DEL_NORTE_08,3,2,6,1,1,8.5,1.5,1,24,5,5,6,5,14.71,6,3,6,50.71,9.98,14,14,8,8,2,2,57.98, ,.5789,.6842,.4035,.9649,.7719, ,2003,2020,2019, ,5,1,3,3,4,4,.73,.38,.87,.95,.66,.36,.63,1, ,24,50.71,57.98,.71,15
EL_DORADO_09,4,1,8,5,1,15.5,2,1,37.5,6,5,6,5,14.3,4,3,5,48.3,9.98,12,9,8,6,2,1,47.98, ,.0702,.1228,.1404,.0702,.0175, ,2019,2017,2017, ,5,4,5,5,5,5,.67,.58,.78,.66,.5,.38,.5,.63, ,37.5,48.3,47.98,.72,17
FRESNO_10,3,2,3,5,1,14,2,1,31,8,4.5,5,4,14.63,3,0,3,42.13,9.98,14,14,9,8,2,2,58.98, ,.9298,.8947,.9123,.7719,.9649, ,2000,2015,2018, ,5,5,1,5,5,5,.75,.55,.76,.95,.46,.38,0,1, ,31,42.13,58.98,.71,19
GLENN_11,3,3,6,4,0,18,4,1,39,6,4.5,5,5,14.97,6,0,3,44.47,9.98,14,9,9,5,2,0,48.98, ,.6842,.9649,.5088,.1404,.6667, ,2023,2011,2018, ,3,3,2,5,5,5,.68,.67,.73,.64,.22,.4,0,.25, ,39,44.47,48.98,.71,21
HUMBOLDT_12,5,4,3,6,1,17,3.5,1,40.5,8,5,6,6,15.63,7,4,6,57.63,9.98,13,14,9,8,2,2,57.98, ,.8596,.4035,.2105,.7193,.6842, ,2017,2019,2020, ,5,4,5,5,5,5,.84,.67,.9,.94,.71,.51,.63,1, ,40.5,57.63,57.98,.84,23
IMPERIAL_13,0,2,5,2,0,10,6,1,26, , , , , , , , , ,8.98,11,12,9,8,2,0,50.98, ,.9825,1,1,1,1, ,2015, ,2021, ,1,2,2,1,3,1,.38,.51,0,.63,.25,.49,0,.25, ,26,0,50.98,.41,25
INYO_14,2,3,1,0,0,13,2,1,22,6,4.5,6,2,12.4,1,0,1,32.9,9.32,16,13,7,4,2,2,53.32, ,.1579,.3333,.4035,.5088,.2456, ,2001,2009,2017, ,5,2,2,1,1,3,.62,.39,.57,.9,.39,.16,0,1, ,22,32.9,53.32,.58,27
KERN_15,3,4,5,5,1,13,1,2,34,4,4,5,3,9.48,1,0,0,26.48,9.98,14,11,9,8,2,2,55.98, ,.9649,.7544,.807,.9123,.9474, ,2009,2022,2020, ,3,3,3,1,3,3,.62,.6,.45,.82,.46,.38,0,1, ,34,26.48,55.98,.63,29
KINGS_16,2,4,3,3,1,15,2.5,1,31.5, , , , , , , , , ,9.98,13,8,5,7,2,1,45.98, ,.807,.807,.8246,.7368,.8596, ,2010, ,2012, ,1,2,2,2,2,2,.41,.56,0,.68,.31,.31,0,.63, ,31.5,0,45.98,.42,31
LAKE_17,1,2,6,5,1,16,3.5,1,35.5,5,3,4,3,9.9,1,0,3,28.9,9.98,12,10,9,7,0,2,49.98, ,.8246,.7895,.2807,.2632,.6316, ,2008,2022,2023, ,3,5,3,1,4,4,.67,.62,.48,.92,.45,.34,0,1, ,35.5,28.9,51.98,.63,33
LASSEN_18,5,2,5,7,1,20,5.5,1,46.5,4,3,4,3,6.9,2,1,2,25.9,9.98,14,14,9,7,2,2,57.98, ,.2982,.2281,.3333,.5614,.2982, ,2000,2022,2019, ,5,3,4,1,4,4,.68,.75,.36,.93,.56,.54,.13,1, ,46.5,25.9,57.98,.7,35
LOS_ANGELES_19,5,4,6,7,1,20,6,2,51, , , , , , , , , ,9.98,12,12,7,5,2,2,49.98, ,.8772,.4561,.9825,.9474,.8772, ,2022, ,2020, ,1,1,1,3,4,1,.58,.84,0,.91,.6,.8,0,1, ,51,0,51.98,.55,37
MADERA_20,2,2,2,5,0,16,1.5,1,29.5,4,4,5,5,12.56,2,0,1,33.56,9.98,16,14,8,8,2,1,58.98, ,.9123,.9298,.7719,.614,.9123, ,1995,2008,2017, ,5,3,2,2,2,2,.69,.55,.6,.91,.28,.23,0,.63, ,29.5,33.56,58.98,.66,39
MARIN_21,4,4,7,5,1,20,5.5,1,47.5,8,4.5,5,5,16.54,6,0,5,50.04,9.98,14,12,10,8,2,1,56.98, ,0,.1404,.2632,.1754,.0526, ,2007,2020,2018, ,3,4,3,4,4,4,.84,.78,.88,.85,.45,.71,0,.63, ,47.5,50.04,56.98,.83,41
MARIPOSA_22,2,2,4,3,1,7.5,2.5,1,23,7,3.5,6,5,16.05,7,0,5,49.55,9.98,13,11,9,6,2,2,52.98, ,.5614,.7719,.1228,.5088,.5614, ,2017,2020,2021, ,1,3,3,5,5,3,.66,.4,.8,.77,.4,.19,0,1, ,23,49.55,52.98,.67,43
MENDOCINO_23,3,3,6,5,1,21,4.5,1,44.5,7,4.5,4,5,13.96,5,0,3,42.46,9.98,14,13,9,8,2,2,57.98, ,.8947,.8421,.3684,.7895,.8947, ,2009,2020,2020, ,3,5,3,4,4,4,.79,.72,.7,.95,.51,.54,0,1, ,44.5,42.46,57.98,.78,45
MERCED_24,5,4,5,5,1,15,3.5,1,39.5,4,3.5,4,3,7.74,4,0,3,29.24,9.98,16,14,9,8,2,2,60.98, ,.9474,.9474,.9649,.807,.9825, ,2013,2022,2021, ,3,3,3,5,5,3,.68,.67,.37,.99,.53,.6,0,1, ,39.5,29.24,60.98,.7,47
MODOC_25,4,2,4,4,1,18,1,0,34,4,4,4,3,6.99,4,2,1,28.99,8.98,14,14,8,8,2,1,55.98, ,.6316,.5789,.1579,.193,.5088, ,2018,2017,2016, ,5,5,2,5,5,5,.6,.55,.39,.86,.4,.19,.38,.63, ,34,28.99,55.98,.64,49
MONO_26,4,4,7,4,1,16,3.5,2,41.5,5,4,6,4,14.64,1,0,3,37.64,8.48,14,12,8,6,2,2,52.48, ,.3158,0,.3333,.3684,.1579, ,2009,2009,2006, ,3,3,2,1,3,4,.76,.73,.69,.85,.47,.42,0,1, ,41.5,37.64,52.48,.71,51
MONTEREY_27,1,3,8,5,1,16,3.5,1,38.5,6,5,5,5,14.05,3,0,6,44.05,9.98,14,12,9,8,2,2,56.98, ,.7193,.5614,.8947,.8421,.8246, ,2010,2023,2022, ,3,4,3,3,3,4,.75,.69,.7,.86,.46,.38,0,1, ,38.5,44.05,56.98,.75,53
NAPA_28,3,3,0,3,0,18.5,2,1,30.5,6,4,6,3,13.8,3,1,3,39.8,9.98,16,7,8,5,2,0,47.98, ,.2105,.3684,.4737,.6842,.3684, ,2008,2021,2020, ,5,3,2,3,3,3,.59,.47,.74,.57,.18,.16,.13,.25, ,30.5,39.8,47.98,.64,55
NEVADA_29,4,4,7,6,1,15,4.5,1,42.5,7,4,6,3,13.8,6,5,4,48.8,8.98,15,14,8,6,2,2,55.98, ,.1754,.193,.0175,.0351,.0351, ,2008,2016,2017, ,3,3,4,4,3,4,.78,.68,.74,.93,.8,.64,.75,1, ,42.5,48.8,55.98,.79,57
ORANGE_30,5,2,7,4,1,18,2,1,40,7,3.33,5,5,14.05,5,0,4,43.38,9.48,9,14,9,8,2,2,53.48, ,.3333,.3158,.6667,.4386,.4211, ,2012,2017,2021, ,5,4,3,3,3,3,.74,.64,.69,.89,.51,.52,0,1, ,40,43.38,53.48,.74,59
PLACER_31,4,4,8,6,1,21,4,1,49,4,3,6,5,12.48,5,2,2,39.48,9.98,15,14,9,8,2,2,59.98, ,.0175,.2456,.2281,.0175,0, ,2013,2021,2021, ,5,4,5,5,5,5,.81,.79,.68,.97,.68,.66,.38,1, ,49,39.48,59.98,.8,61
PLUMAS_32,4,2,4,6,1,16,1.5,1,35.5,4,3,4,3,10.48,4,2,2,32.48,9.98,13,14,9,6,2,2,55.98, ,.1404,.2632,.0351,.1579,.0877, ,2013,2019,2020, ,5,3,3,5,5,5,.7,.6,.55,.95,.55,.26,.38,1, ,35.5,32.48,57.98,.68,63
RIVERSIDE_33,4,4,9,5,1,21,5,2,51,4,4,5,3,10.82,2,1,3,32.82,7.98,13,10,9,7,2,2,50.98, ,.7368,.5965,.7544,.4035,.6491, ,2015,2023,2023, ,5,4,5,5,5,5,.7,.79,.55,.76,.65,.71,.25,1, ,50,32.82,50.98,.72,65
SACRAMENTO_34,3,4,5,3,1,14,6.5,1,37.5,6,3.5,4,5,11.55,3,0,3,36.05,9.98,16,13,9,8,2,2,59.98, ,.4912,.6316,.614,.4211,.5439, ,2011,2014,2021, ,3,3,3,3,3,4,.76,.71,.59,.99,.55,.66,0,1, ,37.5,36.05,59.98,.72,67
SAN_BENITO_35,3,3,4,5,0,17,2,1,35,4,4,4,3,11.15,4,0,2,32.15,9.32,15,12,9,6,2,2,55.32, ,.4737,.3684,.7719,.0877,.3158, ,2015,2010,2022, ,3,3,2,3,3,3,.68,.63,.48,.95,.43,.29,0,1, ,35,32.15,55.32,.66,69
SAN_BERNARDINO_36,4,4,4,7,1,12,3.5,1,36.5,3,5,4,3,9.49,4,0,3,31.49,9.98,12,10,7,6,2,2,48.98, ,.8421,.614,.9474,.6842,.8421, ,2022,2020,2011, ,3,5,3,5,5,3,.62,.72,.45,.71,.5,.49,0,1, ,36.5,31.49,48.98,.63,71
SAN_DIEGO_37,6,4,10,3,0,20.5,7.5,1,52,7,3.5,5,2,10.98,4,0,2,34.48,9.98,14,12,9,8,2,2,56.98, ,.5088,.1754,.5614,.7544,.5263, ,2011,2019,2023, ,3,4,4,4,4,4,.77,.86,.54,.9,.65,.95,0,1, ,52,34.48,56.98,.77,73
SAN_FRANCISCO_38,0,2,5,2,1,15,7,1,33, , , , , , , , , ,8.66,14,12,7,7,2,0,50.66, ,.0877,.0175,.6667,.8947,.2632, ,2011, ,2021, ,1,2,2,1,1,1,.44,.6,0,.74,.26,.52,0,.25, ,33,0,50.66,.45,75
SAN_JOAQUIN_39,3,1,4,3,0,15,2,1,29, , , , , , , , , ,9.48,10,9,9,6,2,0,45.48, ,.6667,.7368,.8421,.5965,.7895, ,2016, ,2023, ,1,2,2,1,3,1,.36,.51,0,.59,.22,.41,0,.25, ,29,0,45.48,.4,77
SAN_LUIS_OBISPO_40,3,4,8,7,1,17,2.5,2,44.5,5,4,6,3,13.47,5,0,3,39.47,8.98,15,14,9,8,2,2,58.98, ,.2632,.0526,.2982,.3333,.1228, ,2010,2019,2019, ,5,4,3,4,4,4,.79,.73,.67,.96,.49,.47,0,1, ,44.5,39.47,58.98,.77,79
SAN_MATEO_41,2,4,4,4,1,8,1,2,26,4,3,6,5,9.07,3,0,3,33.07,9.98,13,14,10,8,2,2,58.98, ,.0351,.0351,.7018,.3509,.0702, ,1986,2018,2021, ,1,1,1,4,4,1,.63,.49,.45,.95,.5,.5,0,1, ,26,33.07,58.98,.63,81
SANTA_BARBARA_42,3,3,3,7,1,15,4,1,37,5,3,2.5,2,6.82,4,0,0,23.32,9.98,16,14,9,8,2,2,60.98, ,.614,.5439,.5965,.9825,.807, ,2014,2005,2023, ,5,3,3,1,1,3,.68,.62,.44,.99,.51,.54,0,1, ,37,25.32,60.98,.66,83
SANTA_CLARA_43,4,4,7,5,1,16,1.5,1,39.5,7,4.5,5,6,15.05,8,2,5,52.55,9.98,14,12,9,6,2,2,54.98, ,.0526,.0877,.8596,.6491,.2105, ,1994,2016,2017, ,5,4,3,4,3,3,.74,.64,.78,.8,.62,.49,.38,1, ,39.5,52.55,54.98,.79,85
SANTA_CRUZ_44,4,3,5,5,0,10,1,1,29,4,3,6,5,9.07,3,0,3,33.07,9.98,11,13,9,6,2,1,51.98, ,.2807,.193,.4386,.8246,.4035, ,1994,2018,2021, ,3,3,2,3,3,3,.6,.56,.45,.79,.32,.34,0,.63, ,29,33.07,53.98,.62,87
SHASTA_45,1,4,5,6,0,16,4,2,38,7,3,5,3,13.39,3,0,3,37.39,9.98,14,13,9,8,2,0,55.98, ,.4561,.6667,.1053,.4737,.4737, , ,2016,2023, ,4,5,2,4,4,4,.72,.66,.68,.82,.27,.57,0,.25, ,38,37.39,55.98,.71,89
SIERRA_46,1,3,5,6,1,13,2,1,32,7,5,5,5,15.05,6,0,2,45.05,8.32,12,12,7,5,2,2,48.32, ,.3684,.4737,0,.0526,.1404, ,2012,2014,2012, ,5,3,1,2,2,2,.72,.58,.81,.78,.42,.26,0,1, ,32,45.05,48.32,.67,91
SISKIYOU_47,1,2,3,2,0,5,1,1,15,6,4.5,5.5,4,15.3,4,1,5,45.3,9.98,16,14,10,8,2,2,61.98, ,.5263,.4211,.193,.2456,.4561, ,1988,2019,2019, ,1,3,3,3,3,1,.7,.28,.84,1,.49,.21,.25,1, ,15,45.3,61.98,.66,93
SOLANO_48,3,4,7,6,0,16,2,1,39, , , , , , , , , ,9.65,11,9,7,5,2,0,43.65, ,.2456,.6316,.7193,.3158,.386, ,2008, ,2012, ,1,1,2,2,2,2,.39,.68,0,.49,.18,.29,0,.25, ,39,0,43.65,.44,95
SONOMA_49,2,4,1,4,1,15,1,1,29,8,4.5,6,6,16.71,5,6,6,58.21,9.98,14,7,9,1,2,2,44.98, ,.2105,.2632,.386,.2807,.193, ,2008,2022,2021, ,3,1,4,5,5,4,.69,.44,.98,.65,.7,.11,1,1, ,29,58.21,44.98,.71,97
STANISLAUS_50,1,3,5,4,1,9,1.5,1,25.5, , , , , , , , , ,9.98,15,14,9,8,2,2,59.98, ,.7368,.8246,.6491,.2982,.7193, ,2015, ,2022, ,1,2,1,1,3,1,.47,.45,0,.97,.46,.37,0,1, ,25.5,0,59.98,.46,99
SUTTER_51,1,2,6,2,0,10,.5,1,22.5, , , , , , , , , ,7.98,15,14,9,7,2,2,56.98, ,.6316,.8596,.5439,.386,.7018, ,2011, ,2015, ,1,2,2,1,1,1,.45,.42,0,.93,.44,.32,0,1, ,22.5,0,56.98,.43,101
TEHAMA_52,3,4,4,5,1,16,1.5,1,35.5,5,3,4,2,9.23,7,0,2,32.23,8.98,13,13,9,8,2,2,55.98, ,.7895,.8596,.3158,.4912,.7544, ,2009,2017,2018, ,3,3,2,4,4,4,.66,.63,.41,.93,.46,.39,0,1, ,35.5,32.23,55.98,.67,103
TRINITY_53,1,4,6,7,0,17,4,1,40,4,4,4,4,10.32,4,0,3,33.32,9.98,12,10,6,4,2,1,44.98, ,.7719,.7193,.0526,.5789,.614, ,2002,2020,2016, ,5,3,2,3,3,3,.61,.71,.5,.61,.39,.54,0,.63, ,40,33.32,44.98,.64,105
TULARE_54,1,4,8,5,1,19,3.5,1,42.5,6,3.5,5,4,10.06,1,0,1,30.56,9.98,12,13,9,6,2,2,53.98, ,1,.8947,.9298,.4561,.9298, ,2012,2010,2018, ,5,4,3,1,1,3,.71,.71,.56,.87,.49,.47,0,1, ,42.5,30.56,53.98,.68,107
TUOLUMNE_55,2,4,5,6,1,17,4,1,40,5,3.5,4,4,8.74,5,0,3,33.24,9.98,9,11,8,3,2,2,44.98, ,.4386,.2982,.0877,.5439,.3333, ,2018,2004,2018, ,1,3,3,3,4,4,.65,.69,.55,.7,.5,.51,0,1, ,40,33.24,44.98,.64,109
VENTURA_56,4,4,6,6,1,20,3.5,1,45.5,3,3.5,4,5,9.23,5,4,1,34.73,9.98,16,12,10,7,2,2,58.98, ,.4035,.4912,.5614,.2281,.4386, ,2020,2010,2022, ,3,3,5,4,4,4,.74,.74,.61,.88,.79,.61,.75,1, ,45.5,34.73,58.98,.75,111
YOLO_57,3,3,7,5,1,14,5,1,39,7,3,5,4,10.73,2,2,3,36.73,8.98,12,10,9,8,2,2,51.98, ,.3684,.1053,.5263,.9123,.4912, ,2009,2023,2018, ,5,3,5,1,4,4,.66,.61,.54,.83,.69,.7,.38,1, ,39,36.73,51.98,.69,113
YUBA_58,2,4,5,4,0,19,1.5,1,36.5,8,4.5,5,5,14.96,6,0,6,49.46,9.98,15,12,10,8,2,2,58.98, ,.7018,.7018,.4561,.614,.7368, ,2011,2022,2021, ,5,5,3,4,4,4,.78,.62,.81,.91,.46,.37,0,1, ,36.5,49.46,58.98,.78,115
